id;title;price;image;description;whatsapp
luminaria-macrame;Luminária em Macramê;R$ 69,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/Luminaria.jpeg;"A luz indireta que transforma seu ambiente ✨\nFeito sob encomenda, na cor que você escolher!\n\nMedidas disponíveis:\n1,5m R$69,90 | 2m R$89,90 | 3m R$129,90\nMedidas: 150cm (A) x variável (L)";https://wa.me/5541995358400?text=Olá! Tenho interesse na Luminária em Macramê (R$ 120,00). Poderia me dar mais informações?
painel-07-folhas;Painel 07 Folhas;R$ 239,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/Painel7Folhas.jpeg;"Painel de folhas 🌱\nQuando a calma da natureza encontra a sofisticação.\nO painel de folhas é o equilíbrio perfeito entre beleza e aconchego, com uma paleta rica que transforma qualquer ambiente.\nFeito à mão com cuidado e dedicação, pra levar exclusividade e qualidade para o seu espaço.\nPodemos alterar as cores ou tamanho conforme sua preferência.\nMedidas: 100cm (L) x 80cm (A)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel 07 Folhas (R$ 239,90). Poderia me dar mais informações?
painel-09-folhas;Painel 09 Folhas;R$ 294,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/Painel9folhas.jpeg;"Painel de folhas 🌱\nQuando a calma da natureza encontra a sofisticação.\nO painel de folhas é o equilíbrio perfeito entre beleza e aconchego, com uma paleta rica que transforma qualquer ambiente.\nFeito à mão com cuidado e dedicação, pra levar exclusividade e qualidade para o seu espaço.\nPodemos alterar as cores ou tamanho conforme sua preferência.\nMedidas: 100cm (L) x 80cm (A)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel 09 Folhas (R$ 294,90). Poderia me dar mais informações?
painel-aurora;Painel Aurora;R$ 109,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/PainelAurora1.jpeg;"Painel Aurora ☀️\nA elegância dos tons neutros com um toque de cor para iluminar e alegrar os seus dias.\nUma peça que é pura energia e aconchego.\nDisponível a pronta entrega.\nAcabamento premium em cavilha de madeira natural tratada e envernizada.\nMedidas: 80cm (A) x 40cm (L)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel Aurora (R$ 109,90).
painel-conchas;Painel Conchas;R$ 129,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/PainelConchas2.jpeg;"Painel Conchas 🌊\nRico em detalhes e delicadeza, esse painel cheio de charme veio pra preencher seu espaço com aconchego e amor.\nDisponível em algodão trançado ou barbante — você escolhe!\nMedidas: 80cm (A) x 40cm (L)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel Conchas (R$ 129,90).
painel-luz;Painel Luz;R$ 179,00;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/PainelLuzReal.jpeg;"Painel Luz ☀️\nFeito em tons terrosos, traz aquele toque de cor sem perder elegância.\nIdeal para ambientes que pedem presença e harmonia.\nMedidas: 90cm (A) x 60cm (L)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel Luz (R$ 179,00).
painel-maxi-algodao;Painel Maxi Algodão Trançado;R$ 379,00;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/PainelAlgodaoMaxi.jpeg;"Painel Maxi 🌾\nConfeccionado em 100% algodão trançado, possui 1 metro de largura e muitas tramas, trazendo textura e aconchego ao seu ambiente.\nCaso seja confeccionado em tamanho menor ou outro material, os valores diminuem significativamente.\nMedidas: 100cm (L) x 80cm (A)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel Maxi Algodão Trançado (R$ 379,00).
painel-cipos;Painel Cipós;R$ 129,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/PainelOrvalho.jpeg;"Painel Cipós 🌿\nCom formato leve e orgânico, os cipós acompanham as folhas para trazer aquele charme natural.\nDisponível nas cores e medidas que precisar.\nMedidas: 80cm (A) x 40cm (L)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel Cipós (R$ 129,90).
painel-raizes;Painel Raízes;R$ 169,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/PainelRaizes.jpeg;"Painel Raízes 🍂\nFeito à mão em tons de terracota e cru, essa peça traz aconchego e delicadeza em cada fio.\nUm painel que acolhe e transforma o ambiente!\nDisponível sob encomenda nas cores e tamanho que precisar.\nMedidas: 90cm (A) x 60cm (L)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel Raízes (R$ 169,90).
painel-sereno;Painel Sereno;R$ 109,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/PainelCru2.jpeg;"Painel Sereno 🤍\nAquela peça que traz leveza e elegância a qualquer ambiente, na cor cru.\nDisponível no tamanho que preferir.\nMedidas: 70cm (A) x 35cm (L)";https://wa.me/5541995358400?text=Olá! Tenho interesse no Painel Sereno (R$ 109,90).
painel-personalizado;Painel/Arte Personalizada;R$ 14,90;https://uompmspsrpswwofrrfwv.supabase.co/storage/v1/object/public/product-images/ArtePersonalizada.JPG;"Podemos criar sua arte personalizada a partir de R$14,90 ✨\nSeja chaveiros, suportes, painéis ou adornos em geral — nos conte sua ideia e criamos algo único e pensado especialmente para o seu espaço.";https://wa.me/5541995358400?text=Olá! Gostaria de criar uma arte personalizada.
